,device,gpa,semester,degree,age,sex,stress,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,week_1,week_2,week_3,week_4,week_5,week_6,yesterday_1,yesterday_2,yesterday_3,yesterday_4,yesterday_5,yesterday_6,yesterday_typical,enough_1,enough_2,enough_3,enough_4,enough_5,enough_6,survey_time
266,pc/laptop,2.200000047683716,6.0,1.0,23.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,2.0,1.0,4.0,4.0,20.0,8.0,10.0,30.0,0.0,0.0,0.0,1.0,1.0,14.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,5.0
274,pc/laptop,3.0,4.0,1.0,20.0,2.0,7.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,13.5,6.0,0.0,1.0,55.0,30.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0
281,tablet,2.9000000953674316,4.0,1.0,21.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,22.0,3.0,16.0,5.0,6.0,32.0,2.0,0.5,7.0,0.5,1.0,6.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,7.0
282,pc/laptop,2.200000047683716,10.0,2.0,25.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,11.0,4.0,0.0,4.0,24.0,32.0,0.0,5.0,0.0,1.0,5.0,8.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,20.0
286,pc/laptop,3.5,4.0,1.0,22.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,16.0,13.0,0.0,2.0,6.0,35.0,2.0,4.0,0.0,0.0,3.0,7.5,3.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0
288,pc/laptop,2.7799999713897705,5.0,1.0,25.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,18.0,5.0,10.0,20.0,10.0,35.0,0.0,0.0,0.0,4.0,12.0,8.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,8.0
293,pc/laptop,2.299999952316284,4.0,2.0,26.0,2.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,0.0,20.0,42.0,10.0,7.0,35.0,0.0,0.0,12.0,2.0,1.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,10.0
294,pc/laptop,2.0,4.0,1.0,30.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,12.0,4.0,15.0,3.0,10.0,35.0,4.0,0.5,4.0,0.5,2.0,6.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0
299,pc/laptop,2.5,6.0,1.0,22.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,25.0,25.0,10.0,10.0,25.0,35.0,0.0,0.0,0.0,1.0,8.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
301,pc/laptop,2.9000000953674316,6.0,1.0,21.0,2.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,45.0,10.0,0.0,15.0,35.0,35.0,5.0,1.0,0.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,7.0
302,pc/laptop,2.0,2.0,1.0,21.0,2.0,6.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,16.5,35.0,18.0,14.0,21.0,35.0,4.5,4.0,0.0,1.5,4.5,5.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,35.0
305,pc/laptop,1.7000000476837158,8.0,2.0,24.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,12.0,3.0,35.0,35.0,2.0,2.0,4.0,0.0,5.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0
308,pc/laptop,2.0999999046325684,4.0,1.0,24.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,10.0,4.0,12.0,4.0,20.0,35.0,0.0,2.0,4.0,1.0,8.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,10.0
309,pc/laptop,2.299999952316284,2.0,1.0,23.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,35.0,6.0,4.0,4.0,5.0,35.0,8.0,1.0,0.0,0.0,2.0,7.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,15.0
310,pc/laptop,1.899999976158142,8.0,2.0,27.0,2.0,6.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,50.0,10.0,0.0,10.0,15.0,35.0,2.0,4.0,0.0,2.0,4.0,7.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,15.0
314,pc/laptop,2.0,2.0,1.0,21.0,2.0,5.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,15.0,4.0,5.0,3.0,5.0,35.0,5.0,1.0,0.0,1.0,2.0,8.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0
316,pc/laptop,1.7999999523162842,4.0,1.0,21.0,2.0,6.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,13.0,6.0,1.0,10.0,10.0,35.0,2.0,2.0,0.0,1.5,2.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
317,mobile,2.200000047683716,12.0,1.0,25.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,6.0,1.0,7.0,6.0,6.0,35.0,0.0,0.0,6.0,2.0,0.0,7.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0
319,pc/laptop,1.7000000476837158,4.0,1.0,19.0,2.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,14.0,35.0,10.0,6.0,0.0,35.0,6.0,4.0,2.0,0.0,0.0,6.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,7.0
320,pc/laptop,1.100000023841858,4.0,1.0,21.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,14.0,4.0,10.0,2.0,28.0,35.0,2.0,0.0,3.0,0.0,4.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
323,pc/laptop,2.450000047683716,2.0,1.0,21.0,2.0,7.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0,18.0,4.0,20.0,3.0,10.0,35.0,0.0,2.0,0.0,2.0,5.0,10.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,7.0
324,pc/laptop,2.5999999046325684,12.0,1.0,25.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,4.0,4.0,4.0,28.0,14.0,12.0,2.0,2.0,35.0,7.0,1.0,4.0,1.0,0.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,10.0
325,pc/laptop,2.299999952316284,4.0,1.0,20.0,2.0,6.0,2.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,24.0,10.0,11.0,4.0,10.0,35.0,4.0,0.0,6.0,1.0,2.0,7.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,10.0
326,pc/laptop,1.899999976158142,12.0,2.0,26.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,0.0,10.0,40.0,5.0,10.0,35.0,0.0,0.0,8.0,1.0,2.0,7.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0
327,pc/laptop,1.600000023841858,4.0,1.0,20.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,10.0,8.0,20.0,5.0,15.0,35.0,0.0,0.0,10.0,0.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,10.0
328,mobile,2.200000047683716,10.0,2.0,25.0,1.0,6.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,12.0,12.0,14.0,5.0,10.0,35.0,3.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,10.0
329,mobile,1.899999976158142,4.0,1.0,21.0,2.0,5.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,2.0,22.0,10.0,20.0,6.0,30.0,35.0,8.0,2.0,0.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,10.0
331,pc/laptop,1.600000023841858,2.0,1.0,20.0,2.0,7.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,25.0,40.0,0.0,5.0,0.0,35.0,0.0,5.0,0.0,1.0,0.0,7.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0
334,mobile,2.299999952316284,4.0,1.0,20.0,1.0,7.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,22.0,25.0,30.0,10.0,15.0,36.0,0.0,5.0,6.0,2.0,4.0,7.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,15.0
335,tablet,2.299999952316284,8.0,1.0,28.0,2.0,6.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,24.0,9.0,10.0,36.0,0.0,0.0,4.0,4.0,6.0,10.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,15.0
337,pc/laptop,1.7000000476837158,10.0,2.0,27.0,2.0,5.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,8.0,30.0,10.0,12.0,36.0,0.0,0.0,0.0,2.0,2.0,7.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,10.0
338,tablet,2.299999952316284,2.0,1.0,19.0,1.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,34.0,14.0,12.0,1.0,10.0,36.0,0.0,0.0,7.0,0.0,0.0,12.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,7.0
341,pc/laptop,2.0,14.0,2.0,26.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,0.0,30.0,10.0,8.0,15.0,36.0,0.0,5.0,0.0,2.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,15.0
344,pc/laptop,2.200000047683716,2.0,1.0,21.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,21.0,12.0,7.0,15.0,10.0,38.0,6.0,5.0,0.0,3.0,2.0,7.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,10.0
348,pc/laptop,1.850000023841858,4.0,1.0,20.0,2.0,5.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,18.0,8.0,15.0,5.0,4.0,38.0,0.0,3.0,0.0,2.0,1.0,9.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0
351,pc/laptop,1.5,6.0,1.0,25.0,2.0,6.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,13.0,4.0,36.0,4.0,14.0,39.0,0.0,0.0,8.0,0.5,3.0,7.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0
356,pc/laptop,2.0,10.0,2.0,27.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,0.0,20.0,0.0,10.0,20.0,40.0,0.0,2.0,0.0,2.0,3.0,8.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0
357,pc/laptop,2.799999952316284,4.0,1.0,21.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,30.0,15.0,10.0,4.0,6.0,40.0,8.0,3.0,0.0,0.0,2.0,9.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0
363,pc/laptop,1.7999999523162842,14.0,2.0,28.0,1.0,5.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,4.0,4.0,8.0,15.0,25.0,5.0,8.0,40.0,0.0,0.0,12.0,0.0,0.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0
366,pc/laptop,1.399999976158142,10.0,2.0,24.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,7.5,15.0,10.0,10.0,8.5,40.0,1.5,3.0,0.0,2.0,1.5,8.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0
367,pc/laptop,2.200000047683716,6.0,1.0,25.0,1.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,20.0,5.0,0.0,2.0,20.0,40.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,8.0
369,mobile,2.4000000953674316,4.0,1.0,20.0,2.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,20.0,40.0,3.0,1.0,2.0,40.0,8.0,5.0,0.0,0.0,0.0,6.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,90.0
372,pc/laptop,1.100000023841858,2.0,1.0,26.0,2.0,4.0,4.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,15.0,15.0,5.0,10.0,4.0,40.0,3.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,5.0
373,pc/laptop,1.2999999523162842,14.0,2.0,27.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,30.0,20.0,10.0,20.0,40.0,0.0,0.0,0.0,0.0,12.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,10.0
377,mobile,2.0,6.0,1.0,23.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,8.0,8.0,8.0,4.0,16.0,40.0,0.0,2.0,6.0,1.0,3.0,6.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0
380,pc/laptop,1.0,15.0,2.0,28.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,0.0,20.0,0.0,40.0,0.0,40.0,0.0,5.0,0.0,8.0,0.0,6.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,10.0
381,pc/laptop,2.0,12.0,2.0,25.0,2.0,5.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,0.0,24.0,8.0,3.0,7.0,40.0,0.0,0.0,0.0,3.0,5.0,10.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,9.0
383,pc/laptop,1.600000023841858,5.0,2.0,26.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,0.0,0.0,25.0,10.0,20.0,40.0,0.0,0.0,8.0,1.0,1.0,7.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0
384,pc/laptop,2.299999952316284,11.0,1.0,27.0,1.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,12.0,16.0,10.0,35.0,40.0,0.0,0.0,3.75,2.5,6.0,6.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,7.0
386,mobile,2.0,2.0,1.0,18.0,2.0,5.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,16.0,15.0,10.0,2.0,8.0,40.0,6.5,1.0,0.0,0.5,5.0,6.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,30.0
387,pc/laptop,2.200000047683716,3.0,1.0,18.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,14.0,4.0,0.0,8.0,30.0,40.0,4.0,2.0,0.0,2.0,4.0,8.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0
388,pc/laptop,2.299999952316284,8.0,2.0,24.0,1.0,2.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,20.0,15.0,0.0,10.0,20.0,40.0,3.0,3.0,0.0,4.0,6.0,8.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,5.0
392,mobile,2.700000047683716,6.0,1.0,22.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,10.0,10.0,15.0,40.0,0.0,0.0,0.0,2.0,5.0,9.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,10.0
393,pc/laptop,1.899999976158142,4.0,1.0,27.0,2.0,6.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,20.0,40.0,6.0,2.0,5.0,40.0,2.0,5.0,5.0,0.5,0.0,7.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,9.0
394,pc/laptop,1.7999999523162842,10.0,1.0,24.0,2.0,6.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,55.0,0.0,10.0,5.0,40.0,0.0,6.0,0.0,1.0,0.0,6.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0
397,pc/laptop,1.100000023841858,8.0,2.0,23.0,2.0,5.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,12.0,25.0,12.0,10.0,6.0,40.0,2.0,6.0,0.0,1.5,1.5,7.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0
399,pc/laptop,1.1200000047683716,14.0,2.0,25.0,2.0,7.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,10.0,15.0,20.0,10.0,14.0,40.0,0.0,1.0,4.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0
401,pc/laptop,1.7000000476837158,7.0,1.0,26.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,12.0,12.0,14.0,8.0,16.0,40.0,0.0,2.0,0.0,4.0,6.0,4.5,2.0,2.0,1.0,2.0,2.0,2.0,1.0,8.0
402,mobile,1.7000000476837158,10.0,2.0,24.0,2.0,6.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,16.0,10.0,12.0,9.0,14.0,40.0,6.0,1.0,1.0,1.0,2.0,7.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,10.0
403,pc/laptop,1.2999999523162842,8.0,2.0,22.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0,40.0,10.0,17.0,5.0,10.0,40.0,6.0,2.0,0.0,2.0,1.0,7.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,12.0
405,mobile,1.600000023841858,10.0,1.0,25.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,10.0,3.0,12.0,15.0,5.0,40.0,2.0,0.0,4.0,2.0,0.5,6.5,3.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0
408,pc/laptop,2.0,2.0,2.0,33.0,1.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,12.0,30.0,0.0,6.0,6.0,40.0,0.0,0.0,0.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0
410,pc/laptop,1.399999976158142,12.0,2.0,28.0,1.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,12.0,16.0,10.0,5.0,10.0,40.0,2.0,4.0,4.0,0.0,1.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,50.0
411,pc/laptop,1.399999976158142,2.0,1.0,19.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,18.0,30.0,0.0,5.0,5.0,40.0,9.0,2.0,0.0,1.0,0.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0
413,pc/laptop,1.899999976158142,4.0,1.0,20.0,2.0,6.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,20.0,20.0,5.0,8.0,15.0,40.0,3.0,4.0,0.0,1.5,3.0,8.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,10.0
415,pc/laptop,1.7000000476837158,4.0,2.0,26.0,2.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,60.0,10.0,15.0,7.0,4.0,40.0,10.0,2.0,3.0,2.0,1.0,8.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,10.0
