,id,a4a,a6a,a2,a0,b1,b5,b7a,d1a1x,g1a,BMj4c,j30_environment_pos,BMj5,n2a,n2e,n2b,n2f,n2i,n2p,BMGa1,BMGa2,BMGa4,BMGb1,BMGb2,BMGc2,BMGc5,BMGc7,BMGc8,BMGc16,BMGc18,BMGc23a,BMGc23b,BMGc23c,BMGc23d,BMGc23e,BMGc23f,BMGc23g,BMGc23h,BMGc23i,BMGc23j,BMGc24,BMGc25,BMGc27,BMGd6,BMGd7,BMGe1,BMGe2,BMGe2u,ecology_index
21,214,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2012,0,Розничная Продажа Красивых Вещей И Бижутерии В Специализированном Магазине,Не применимо,1.0,1,0,3000000,,60000,Не знаю,7000000,,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,1,1,1,0,1,0,1,0,Не знаю,1,,1,0,0,0,,5
22,224,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1998,1,"Оптовая Торговля Продуктами Питания, Сигаретами: Напитками, Сухими Продуктами, Специями, Консервами и т.д.",0,1.0,8,0,10000000,,420000,1100000,,,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,1,0,0,0,1,1,1,0,Не знаю,0,,0,0,0,0,,4
23,227,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2008,0,"Подключение пользователей И Обеспечение доступа в Интернет С использованием Кабельных систем передачи данных: Ethernet, Fiber, Dsl",Не применимо,0.5,9,0,5800000,,100000,100000,,,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,1,0,Усовершенствования системы освещения,0,Не знаю,0,0,0,0,,1
27,236,Другое Производство,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2001,0,Производство Строительных Металлоконструкций,100,1.0,5,0,74400000,384000000,5400000,3600000,,470000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,1,0,1,1,1,1,1,1,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,,0,0,0,0,,7
28,237,Другое Производство,Крупный,Центральный Федеральный округ,Производство,"Акционерное общество, акции которого обращаются на фондовом рынке",2011,0,Производство Коммуникационного оборудования,100,1.0,6,0,Не знаю,Не знаю,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,1,0,1,0,1,1,1,1,1,1,1,0,"Минимизация отходов, вторичная переработка и управление отходами",1,,0,0,0,0,,7
30,243,Еда,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,Производство молочных Продуктов,100,1.0,8,0,115000000,190000000,11000000,14000000,,350000000,1,0,0,0,0,Каждый месяц,Каждый месяц,0,,1,0,1,0,1,1,1,1,1,1,1,0,"Минимизация отходов, вторичная переработка и управление отходами",1,,0,0,0,0,,7
31,245,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2010,0,"Печать газет, Журналов",Не применимо,1.0,8,0,4200000,14500000,72000,0,,19000000,0,0,0,0,0,,,0,,0,0,0,0,1,0,1,0,0,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,,0,0,7200,0,,2
37,309,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",Не знаю,0,Оптовая Торговля Оборудованием И Инструментами Для Сельского Хозяйства,0,0.75,1,1,160000000,,Не знаю,Не знаю,,,0,0,0,0,0,,,0,,Не знаю,0,0,0,0,0,0,0,0,0,0,0,,0,,Не знаю,0,0,0,,0
38,322,Розничная торговля,Средний,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,"Розничная Продажа Продуктов Питания, Напитков, Сигарет",Не применимо,1.0,6,0,10000000,,300000,Не знаю,Не знаю,,0,0,1,0,0,Каждый квартал,,0,,1,0,0,0,0,1,0,0,0,0,0,0,,1,,0,0,0,0,,1
40,348,Готовые Металлические Изделия,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,Производство Трубопроводной Арматуры: Плоские Стальные Сварные Фланцы,100,0.5,9,0,74400000,144000000,4600000,2200000,,226000000,1,0,0,0,0,Каждый месяц,Каждый месяц,1,1,0,1,0,0,0,1,1,1,1,0,1,0,Меры по борьбе с загрязнением воздуха,1,,0,0,0,0,,4
41,406,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2009,0,Производство Строительных Металлоконструкций,0,0.75,7,0,8000000,29000000,600000,500000,,Не знаю,0,0,0,0,0,Каждый год,Каждый год,0,,1,0,0,0,0,0,0,0,0,0,1,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
43,451,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2012,0,Оптовая Торговля Детским Питанием,0,1.0,7,0,7100000,,45000,80000,,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,9000,0,,0
44,455,Предметы одежды,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2016,1,"Производство трикотажных изделий: Футболки, Толстовки, Спортивные костюмы, Бомберы",0,0.75,9,0,8400000,20000000,84000,120000,,35000000,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,1,1,1,0,0,0,1,0,Модернизация машин и оборудования,1,,0,0,0,0,,4
51,467,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2014,0,"Печать газет, Журналов",Не применимо,0.5,9,1,6800000,2500000,58000,Не знаю,,2700000,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,1
56,486,Неметаллические Минеральные продукты,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,Производство Комплексного Архитектурного Оформления Фасадов И интерьеров,0,1.0,7,0,70000000,100000000,600000,1000000,,Не знаю,0,0,1,0,0,Каждый месяц,Каждый месяц,1,1,0,0,1,0,1,1,1,1,1,0,1,0,Модернизация машин и оборудования,1,,Не знаю,0,1300,0,,6
64,507,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,0,"Производство Медицинского Диагностического И Терапевтического Оборудования, Хирургического Оборудования, Медицинских Инструментов",0,0.25,9,0,Не знаю,480000,45000,30000,,0,0,0,0,0,0,,,0,,0,0,0,0,0,1,1,0,0,0,0,0,"Минимизация отходов, вторичная переработка и управление отходами",0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,2
66,510,Другие Услуги,Крупный,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Оптовая Торговля Фармацевтическими Препаратами,0,0.5,8,0,80000000,,500000,0,,,0,0,0,0,0,,,0,,0,0,1,0,0,1,0,1,1,1,0,1,Модернизация транспортных средств,0,Не является приоритетом по сравнению с другими инвестициями,0,0,8000,0,,6
70,528,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1999,1,Оптовая Торговля Бытовыми Электроприборами,0,0.5,4,0,9000000,,100000,Не знаю,,,0,0,0,0,0,Каждый квартал,,0,,1,0,0,0,0,1,0,0,0,0,0,0,,1,,0,0,10000,0,,1
71,529,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2015,1,Розничная Продажа Канцелярских принадлежностей В Специализированном магазине,0,1.0,3,1,3000000,,50000,60000,Не знаю,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не выгодно,0,0,0,0,,0
73,538,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2014,0,Оптовая Продажа Напольных покрытий,Не применимо,0.5,3,0,Не знаю,,Не знаю,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
74,539,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2016,0,Оптовая Продажа Металлических Входных Дверей,0,1.0,8,0,3000000,,24000,Не знаю,,,0,0,0,0,0,Каждый месяц,,0,,1,0,0,0,0,0,1,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,4000,0,,1
78,560,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2016,1,Оптовая Продажа Аксессуаров Для Одежды,Не применимо,1.0,9,0,3500000,,50000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0
81,566,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1991,0,Разработка И Внедрение Информационных Технологий и Программного обеспечения для ЭВМ,0,1.0,7,0,11543000,,28000,0,,,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,1,0,Модернизация машин и оборудования,1,,0,0,0,0,,1
85,577,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,"Фотопечать и Полиграфические, Издательские, Полиграфические Визитные карточки, Открытки, Листовки, Макетные, Багетные И Художественные Мастерские",Не применимо,0.5,5,0,2500000,800000,40000,0,,Не знаю,0,0,0,0,0,Каждый квартал,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Операционный и/ или технический риск,0,0,0,0,,0
86,584,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2017,0,"Рекламно-производственная компания. Полиграфическая продукция, Штемпельная Продукция, Изготовление наружной рекламы, Фрезеровка листовых материалов. Создание арт-проектов По индивидуальным заказам",100,0.75,9,0,2000000,300000,50000,0,,2350000,0,0,1,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,1
88,592,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,Производство Металлических Дверей И Окон,0,1.0,9,0,4500000,Не знаю,300000,Не знаю,,Не знаю,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
95,634,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,"Розничная Продажа Электронных Устройств, Таких Как Мобильные Телефоны, Планшеты",Не применимо,0.5,9,0,Не знаю,,Не знаю,Не знаю,Не знаю,,0,0,0,0,0,Каждое полугодие,,0,,0,0,0,0,0,0,0,0,0,0,1,0,,0,Операционный и/ или технический риск,0,0,0,0,,0
101,690,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,Техническое Обслуживание И Ремонт Автотранспортных Средств,Не применимо,0.5,3,0,4890000,,125000,89700,,,0,0,0,0,0,,,0,,0,0,1,0,1,0,0,0,0,0,0,0,Улучшения в области отопления и охлаждения,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,2
102,707,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2013,0,Производство Строительных Металлоконструкций,0,0.25,8,0,3600000,2800000,1500000,2000000,,6400000,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,1,0,0,0,0,1,1,1,Модернизация машин и оборудования,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,3
105,744,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,Оптовая Продажа Керамической Плитки,0,0.5,9,0,15000000,,2000000,2500000,,,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,0,1,0,0,0,1,0,0,Модернизация транспортных средств,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,3
107,781,Неметаллические Минеральные продукты,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2009,1,Производство Тротуарной плитки и Шлакоблоков,100,1.0,4,0,6300000,18000000,220000,1500000,,27000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,1,0,1,0,1,0,0,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,Не знаю,0,0,0,0,,3
108,784,Другое Производство,Крупный,Центральный Федеральный округ,Производство,"Акционерное общество, акции которого обращаются на фондовом рынке",2004,0,Переработка отходов и Лома Черных И цветных металлов,50,0.75,6,0,900000000,2300000000,700000,Не знаю,,3500000000,1,1,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,1,0,1,1,1,0,1,0,Модернизация машин и оборудования,1,,0,0,0,0,,4
110,789,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1997,0,"Разработка И Производство Пусковых устройств Для Систем Пожаротушения, Пиротехнических Усилителей И Аналогичных Средств.",Не применимо,1.0,7,0,2800000,14000000,70000,0,,18000000,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,1,0,Не знаю,0,Не знаю,0,0,0,0,,1
118,874,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2004,0,"Предоставление услуг по установке и сопровождению Бухгалтерских и юридических систем. Обновление баз данных и конфигураций. Создание резервных копий баз данных, Обучение Пользователей Работе с Программным обеспечением.",Не применимо,0.5,8,0,2200000,,65000,0,,,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,,0,Не знаю,0,0,0,0,,1
120,901,Неметаллические Минеральные продукты,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2008,0,"Производство железобетонных конструкций: Фундаментных блоков, Балок перекрытия.",100,1.0,7,0,72000000,133000000,6000000,2200000,,216000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,1,0,0,1,0,Меры по борьбе с загрязнением воздуха,0,,0,0,0,0,,1
121,910,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2011,0,Производство Строительных Металлоконструкций,0,1.0,1,0,30000000,Не знаю,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
122,916,Машины и оборудование,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2009,0,"Производство И Монтаж Холодильных Установок Промышленного Назначения, Холодильных Шкафов, Систем Кондиционирования Воздуха",100,1.0,8,0,8700000,42000000,350000,1800000,,55000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,1,0,1,1,1,1,1,1,1,0,"Минимизация отходов, вторичная переработка и управление отходами",1,,0,0,0,0,,7
127,1102,Розничная торговля,Средний,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,"Розничная Продажа Пищевых продуктов, Включая Напитки И Табак",0,0.75,9,0,6500000,,1500000,900000,8500000,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,1,0,1,0,1,1,0,Усовершенствования системы освещения,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,3
129,1218,Розничная торговля,Средний,Северо-Западный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2012,0,"Розничная Продажа Продуктов Питания, Напитков",Не применимо,0.75,3,1,45000000,,500000,750000,380000000,,0,0,1,0,0,Каждый год,,0,,1,0,1,0,0,1,0,0,1,0,1,0,Управление энергопотреблением,0,Неопределенность в отношении регулирования,0,0,0,0,,3
130,1247,Еда,Малый,Северо-Западный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Производство пива,0,1.0,9,0,11260000,18000000,50000,Не знаю,,29310000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,1,1,0,1,0,0,0,Управление водными ресурсами,0,Не является приоритетом по сравнению с другими инвестициями,0,0,10000,0,,3
131,1251,Другое Производство,Средний,Северо-Западный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,0,Производство мебели,Не применимо,1.0,8,0,36600000,20000000,50000,Не знаю,,56650000,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,1,1,1,0,0,0,0,0,Модернизация машин и оборудования,0,Не является приоритетом по сравнению с другими инвестициями,0,0,10000,0,,3
132,1261,Другое Производство,Малый,Северо-Западный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,1,"Производство Пластиковых Флаконов Для Косметики, Флаконов С Дозатором.",0,1.0,7,1,4600000,3000000,1600000,Не знаю,,15000000,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,12000,0,,0
133,1274,Машины и оборудование,Средний,Северо-Западный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,"Проектирование, Разработка, Производство И Поставка Специализированного Оборудования Для Технического Обслуживания Атомных Электростанций.",100,1.0,5,1,36000000,17000000,4600000,2070000,,63000000,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
134,1277,Другое Производство,Крупный,Северо-Западный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2001,0,"Производство Серводвигателей, Серводвигателей, Электродвигателей, Электродвигателей Мощностью Более 1 кВт, Электрогенераторов, Трансформаторов и Автотрансформаторов.",100,1.0,2,0,46000000,10000000,1500000,1500000,,60000000,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
135,1294,Готовые Металлические Изделия,Средний,Северо-Западный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,0,Производство Металлопластиковых Профильных Изделий,Не применимо,0.75,8,0,34000000,115000000,Не знаю,4600000,,6000000,0,0,0,0,0,Каждый квартал,Каждый квартал,0,,0,0,0,0,1,0,1,0,0,0,0,1,"Минимизация отходов, вторичная переработка и управление отходами",0,Неопределенность в отношении регулирования,0,0,0,0,,3
136,1328,Розничная торговля,Средний,Северо-Западный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2009,0,Розничная Торговля продуктами питания,0,0.5,3,0,45000000,,500000,800000,140000000,,0,0,0,0,0,Каждый квартал,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
137,1335,Розничная торговля,Средний,Северо-Западный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,1,"Розничная торговля ювелирными изделиями: Браслеты, Броши, Ожерелья, Кольца, Кулоны, Серьги, Цепочки, Сувениры.",Не применимо,0.5,3,0,5100000,,640000,Не знаю,12000000,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
138,1342,Розничная торговля,Средний,Северо-Западный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1993,0,Производство Хлебобулочных изделий,100,1.0,2,1,38000000,Не знаю,1400000,1700000,,Не знаю,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,9000,0,,0
139,1345,Другие Услуги,Малый,Северо-Западный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2016,0,Мероприятия в пабе-Ресторане,Не применимо,1.0,9,0,4200000,,30000,0,,,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,0,1,0,0,1,0,0,0,Улучшения в области отопления и охлаждения,0,Не является приоритетом по сравнению с другими инвестициями,0,0,6000,0,,3
140,1357,Другие Услуги,Малый,Северо-Западный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2013,0,Внедрение И Разработка Программного обеспечения (Приложений),0,1.0,4,0,5800000,,700000,200000,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не выгодно,0,0,6000,0,,0
141,1488,Еда,Малый,Северо-Западный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2012,0,Производство Минеральных Вод И Других Бутилированных Питьевых Вод,0,0.5,8,1,5950000,2500000,200000,0,,8650000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,1,0,0,1,0,0,0,Управление водными ресурсами,0,Неопределенность в отношении будущих цен,0,0,3000,0,,2
142,1489,Еда,Средний,Северо-Западный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,"Производство и Поставка Молочных продуктов: Сухого молока, Сгущенки, Сливок, Пахты.",0,1.0,2,0,22000000,Не знаю,Не знаю,1600000,,Не знаю,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не выгодно,0,0,0,0,,0
