,id,a4a,a6a,a2,a0,b1,b5,b7a,d1a1x,g1a,BMj4c,j30_environment_pos,BMj5,n2a,n2e,n2b,n2f,n2i,n2p,BMGa1,BMGa2,BMGa4,BMGb1,BMGb2,BMGc2,BMGc5,BMGc7,BMGc8,BMGc16,BMGc18,BMGc23a,BMGc23b,BMGc23c,BMGc23d,BMGc23e,BMGc23f,BMGc23g,BMGc23h,BMGc23i,BMGc23j,BMGc24,BMGc25,BMGc27,BMGd6,BMGd7,BMGe1,BMGe2,BMGe2u,ecology_index
11,142,Розничная торговля,Средний,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1997,0,Розничная Продажа Офисной Техники,Не применимо,1.0,2,0,130000000,,470000,Не знаю,200000000,,0,0,0,0,0,Каждый квартал,,0,,1,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,Не знаю,Не знаю,,0.0
12,144,Готовые Металлические Изделия,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2000,0,"Производство деталей из проката цветных металлов и сплавов. Например, Фланцев, хомутов и других изделий промышленного назначения.",0,1.0,3,0,21500000,30000000,2600000,1200000,,56000000,1,0,0,0,0,Каждый месяц,Каждый месяц,0,,1,0,0,0,1,1,1,1,1,1,1,0,"Минимизация отходов, вторичная переработка и управление отходами",1,,0,0,270000,2300,Литры,6.0
13,145,Готовые Металлические Изделия,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2000,1,"Изготовление Вертикальных Стальных Резервуаров, Горизонтальных, Горизонтальных Подземных Резервуаров С Подогревом.",Не применимо,0.75,5,0,10200000,38400000,420000,450000,,50000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,1,0,0,0,0,0,,0,Не знаю,0,0,Не знаю,Не знаю,,1.0
14,153,Другое Производство,Крупный,Центральный Федеральный округ,Производство,"Акционерное общество, акции которого обращаются на фондовом рынке",2002,1,"Производство Станков Для Растачивания, Резки и Обрезки Рельсов",100,0.5,6,0,150000000,700000000,1000000,2000000,,855000000,1,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,1,1,0,0,1,1,1,0,Модернизация транспортных средств,0,Не является приоритетом по сравнению с другими инвестициями,0,0,150000,37000,Литры,4.0
15,160,Готовые Металлические Изделия,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2004,0,Производство Алюминиевых Композитных Панелей И Стальных Композитных Панелей,100,0.75,4,0,65000000,1200000000,18000000,1000000,,1600000000,0,0,0,0,0,Каждый квартал,Каждый квартал,0,,0,0,1,0,1,0,0,0,0,1,1,0,Модернизация машин и оборудования,1,,0,0,200000,20000,Литры,3.0
16,176,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,1,"Розничная торговля Продуктами питания И Товарами народного потребления, Непродовольственными Товарами",Не применимо,0.5,9,0,11000000,,12000,80000,8000000,,0,0,0,0,0,,,0,,0,0,1,0,1,0,0,0,0,0,0,0,Не знаю,0,Нехватка финансовых ресурсов,0,0,2000,0,,2.0
17,185,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Производство мечей,0,0.5,6,0,2000000,3000000,300000,100000,,Не знаю,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,1,0,,0,Не выгодно,0,0,Не знаю,Не знаю,,0.0
18,188,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1993,0,"Розничная Продажа Газовых Отопительных Котлов, Сантехнических Систем, Электрических Водогрейных Котлов, Сопутствующего Оборудования: Насосов, Шлангов, Клапанов и т.д.",Не применимо,0.5,3,0,4200000,,66000,900000,19200000,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,1,1,0,Модернизация транспортных средств,0,Не знаю,0,0,Не знаю,Не знаю,,1.0
19,210,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,"Оптовая Торговля Кровельными Материалами: Черепица, Металлочерепица, Гибкая Черепица, Профнастил",0,0.75,6,0,22000000,,1000000,2000000,,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,1,1,0,0,1,1,1,0,Модернизация транспортных средств,0,Не является приоритетом по сравнению с другими инвестициями,0,0,150000,35000,Литры,4.0
20,211,Другие Услуги,Крупный,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,"Розничная Торговля Кухонной Мебелью, Аксессуарами, Текстилем, Посудой",Не применимо,1.0,4,0,93000000,,1800000,6500000,Не знаю,,1,0,0,0,0,Каждый месяц,,0,,1,0,0,0,0,1,1,0,1,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,Не знаю,0,0,Не знаю,Не знаю,,3.0
21,214,Розничная торговля,Малый,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2012,0,Розничная Продажа Красивых Вещей И Бижутерии В Специализированном Магазине,Не применимо,1.0,1,0,3000000,,60000,Не знаю,7000000,,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,1,1,1,0,1,0,1,0,Не знаю,1,,1,0,Не знаю,Не знаю,,5.0
22,224,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1998,1,"Оптовая Торговля Продуктами Питания, Сигаретами: Напитками, Сухими Продуктами, Специями, Консервами и т.д.",0,1.0,8,0,10000000,,420000,1100000,,,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,1,0,0,0,1,1,1,0,Не знаю,0,,0,0,Не знаю,Не знаю,,4.0
23,227,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2008,0,"Подключение пользователей И Обеспечение доступа в Интернет С использованием Кабельных систем передачи данных: Ethernet, Fiber, Dsl",Не применимо,0.5,9,0,5800000,,100000,100000,,,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,1,0,Усовершенствования системы освещения,0,Не знаю,0,0,Не знаю,Не знаю,,1.0
24,231,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,Ремонт И Техническое Обслуживание Автомобилей,0,0.5,2,0,9000000,,1000000,1000000,,,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,1,0,Ничего из вышеперечисленного  ,1,,0,0,180000,180000,Литры,1.0
25,233,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1999,0,"Производство Различных Типов Подъемных Кранов, Талей, Лебедок, Домкратов, Подъемных Механизмов, Съемников, Редукторов.",100,0.5,2,0,18000000,48000000,900000,1500000,,70000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,1,0,1,0,0,1,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,Не знаю,0,0,90000,36000,Литры,3.0
26,235,Готовые Металлические Изделия,Средний,Центральный Федеральный округ,Производство,"Акционерное общество, акции которого обращаются на фондовом рынке",2002,0,"Переработка Промышленных Отходов, Утилизация Отходов",0,1.0,7,1,11000000,3500000,1200000,900000,,17000000,1,0,0,0,0,Каждый месяц,Каждый месяц,0,,1,0,1,0,1,1,0,1,1,0,1,0,Меры по борьбе с загрязнением воздуха,1,,0,0,120000,250000,Литры,5.0
27,236,Другое Производство,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2001,0,Производство Строительных Металлоконструкций,100,1.0,5,0,74400000,384000000,5400000,3600000,,470000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,1,0,1,1,1,1,1,1,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,,0,0,Не знаю,Не знаю,,7.0
28,237,Другое Производство,Крупный,Центральный Федеральный округ,Производство,"Акционерное общество, акции которого обращаются на фондовом рынке",2011,0,Производство Коммуникационного оборудования,100,1.0,6,0,Не знаю,Не знаю,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,1,0,1,0,1,1,1,1,1,1,1,0,"Минимизация отходов, вторичная переработка и управление отходами",1,,0,0,Не знаю,Не знаю,,7.0
29,241,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Оптовая Торговля Скобяными Изделиями,0,0.75,1,0,5000000,,700000,500000,,,0,0,Не знаю,0,0,Каждый месяц,,1,1,0,0,1,1,0,0,1,0,1,1,0,1,Модернизация транспортных средств,1,,0,0,80000,13000,Литры,6.0
30,243,Еда,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,Производство молочных Продуктов,100,1.0,8,0,115000000,190000000,11000000,14000000,,350000000,1,0,0,0,0,Каждый месяц,Каждый месяц,0,,1,0,1,0,1,1,1,1,1,1,1,0,"Минимизация отходов, вторичная переработка и управление отходами",1,,0,0,Не знаю,Не знаю,,7.0
31,245,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2010,0,"Печать газет, Журналов",Не применимо,1.0,8,0,4200000,14500000,72000,0,,19000000,0,0,0,0,0,,,0,,0,0,0,0,1,0,1,0,0,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,,0,0,7200,0,,2.0
32,253,Машины и оборудование,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,0,Производство Резиновых Изделий,0,0.5,9,0,80000000,40000000,2000000,2000000,,130000000,0,0,0,0,0,Каждый месяц,,0,,0,0,1,1,0,1,1,1,0,0,0,1,Управление энергопотреблением,0,Не является приоритетом по сравнению с другими инвестициями,0,0,300000,37000,Литры,6.0
33,258,Готовые Металлические Изделия,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,"Изготовление Сварных Балок, Несущих Колонн, Ферм и Подрамников, Балок перекрытий, Связей, Ригелей.",100,0.5,1,0,15600000,36000000,840000,660000,,54000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,1,0,0,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",0,Нехватка финансовых ресурсов,0,0,90000,17000,Литры,1.0
34,262,Готовые Металлические Изделия,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1996,0,"Производство Фурнитуры, Мебельной Фурнитуры, Роликовых Направляющих, Метакоксов, Различной Дверной Фурнитуры, Петель, Стержней, Полкодержателей, Мебельных Оснований.",100,0.5,9,0,21600000,84000000,1200000,1500000,,110000000,1,0,0,0,0,Каждый месяц,Каждый месяц,0,,1,0,0,0,1,1,1,0,1,0,1,0,"Минимизация отходов, вторичная переработка и управление отходами",1,,0,0,130000,36000,Литры,4.0
35,289,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Оптовая Торговля Электронным И Телекоммуникационным Оборудованием,0,0.5,2,0,70000000,,1000000,1000000,,,1,0,1,0,0,Каждый месяц,,0,,1,0,1,1,1,0,0,1,1,1,1,1,Модернизация машин и оборудования,1,,0,0,166000,18500,Литры,7.0
36,290,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1993,1,"Оптовая Торговля Летней И Зимней Спецодеждой, Униформой Для Сферы услуг И Медицинской Одеждой, Специальными Головными Уборами, Перчатками И Рукавицами, Обувью И Сигнальной Одеждой, Оснащенной Светоотражателями",Не применимо,0.5,8,0,3100000,,24000,700000,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,1,0,,0,Не знаю,0,0,Не знаю,18000,Литры,0.0
37,309,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",Не знаю,0,Оптовая Торговля Оборудованием И Инструментами Для Сельского Хозяйства,0,0.75,1,1,160000000,,Не знаю,Не знаю,,,0,0,0,0,0,,,0,,Не знаю,0,Не знаю,0,Не знаю,0,0,0,0,Не знаю,0,0,,0,,Не знаю,0,Не знаю,Не знаю,,
38,322,Розничная торговля,Средний,Центральный Федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,"Розничная Продажа Продуктов Питания, Напитков, Сигарет",Не применимо,1.0,6,0,10000000,,300000,Не знаю,Не знаю,,0,0,1,0,0,Каждый квартал,,0,,1,0,0,0,0,1,0,0,0,0,0,0,,1,,0,0,Не знаю,Не знаю,,1.0
39,328,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2011,0,Техническое Обслуживание автомобиля,0,1.0,1,0,69000000,,630000,200000,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,Не знаю,6000,Литры,0.0
40,348,Готовые Металлические Изделия,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,Производство Трубопроводной Арматуры: Плоские Стальные Сварные Фланцы,100,0.5,9,0,74400000,144000000,4600000,2200000,,226000000,1,0,0,0,0,Каждый месяц,Каждый месяц,1,1,0,1,0,0,0,1,1,1,1,0,1,0,Меры по борьбе с загрязнением воздуха,1,,0,0,Не знаю,Не знаю,,4.0
41,406,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2009,0,Производство Строительных Металлоконструкций,0,0.75,7,0,8000000,29000000,600000,500000,,Не знаю,0,0,0,0,0,Каждый год,Каждый год,0,,1,0,0,0,0,0,0,0,0,0,1,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,Не знаю,Не знаю,,0.0
42,450,Еда,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2008,1,Производство Диетических и Диабетических продуктов (Чай С Биологически Активными добавками),0,0.75,1,0,1100000,2500000,90000,0,,3700000,0,0,0,0,0,Каждый квартал,,0,,0,0,0,0,Не знаю,0,0,0,0,0,0,0,,0,,0,0,20000,Не знаю,,
43,451,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2012,0,Оптовая Торговля Детским Питанием,0,1.0,7,0,7100000,,45000,80000,,,0,0,0,0,0,Каждый месяц,,0,,0,0,Не применимо,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,9000,0,,
44,455,Предметы одежды,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2016,1,"Производство трикотажных изделий: Футболки, Толстовки, Спортивные костюмы, Бомберы",0,0.75,9,0,8400000,20000000,84000,120000,,35000000,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,1,1,1,0,0,0,1,0,Модернизация машин и оборудования,1,,0,0,Не знаю,0,,4.0
45,456,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2009,0,"Производство Металлических Цистерн, Тазов И Резервуаров",0,0.75,3,0,2000000,2200000,500000,0,,4700000,0,0,0,0,0,Каждое полугодие,Каждое полугодие,0,,0,0,0,0,1,1,0,0,0,1,0,0,Модернизация машин и оборудования,0,Не является приоритетом по сравнению с другими инвестициями,0,0,90000,Не знаю,,3.0
46,459,Другие Услуги,Малый,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2014,0,"Оптовая Торговля Сливочным маслом, Маргарином, Спредами",0,1.0,3,0,Не знаю,,Не знаю,Не знаю,,,0,0,1,0,1,Каждый квартал,,0,,1,0,1,0,1,1,1,0,0,0,0,0,"Минимизация отходов, вторичная переработка и управление отходами",1,,1,1,20000,Не знаю,,4.0
47,460,Неметаллические Минеральные продукты,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1997,0,"Производство Пластиковых, Столярных и Резиновых Изделий, Используемых В Строительстве, А Именно Пластиковых Окон И Дверей",0,0.5,9,0,270000000,1200000000,900000,3000000,,1400000000,1,1,0,0,0,Каждый квартал,Каждый квартал,0,,0,0,1,0,1,1,1,0,1,1,1,0,Управление энергопотреблением,1,,0,0,180000,55000,Литры,6.0
48,461,Другие Услуги,Средний,Центральный Федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,0,Оптовая Продажа Паркетной доски,0,0.5,1,0,40000000,,1500000,4000000,,,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,1,1,0,0,1,1,1,0,Модернизация транспортных средств,1,,0,0,100000,70000,Литры,5.0
49,463,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,"Издание Книг, Брошюр, Рекламных Буклетов, Словарей, Энциклопедий, Информационных И Идентификационных Этикеток, Пленок, Резины Epdm и Других Изделий",50,0.5,4,0,30000000,160000000,4000000,5000000,,220000000,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,1,0,0,Модернизация машин и оборудования,0,Не является приоритетом по сравнению с другими инвестициями,0,0,500000,90000,Литры,2.0
50,465,Другое Производство,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,1,"Производство Печатной продукции (Буклеты, Бумажные пакеты)",0,0.75,2,0,9000000,3800000,700000,700000,,14500000,0,0,0,0,0,Каждый месяц,Каждый квартал,0,,0,0,0,0,1,1,1,0,0,0,1,1,Модернизация машин и оборудования,1,,0,0,11000,12000,Литры,4.0
51,467,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2014,0,"Печать газет, Журналов",Не применимо,0.5,9,1,6800000,2500000,58000,Не знаю,,2700000,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,Не знаю,Не знаю,,1.0
52,472,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1991,0,Производство Медицинского Оборудования,Не применимо,0.5,5,0,9000000,30000000,136000,50000,,9500000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,1,0,Не применимо,0,0,0,0,0,0,0,0,0,,0,Операционный и/ или технический риск,0,0,40000,0,,
53,476,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2004,0,Производство Музыкальных инструментов - Баянов,0,1.0,3,0,40000000,8000000,95000,75000,,8000000,0,0,0,0,0,Каждый квартал,Каждый квартал,1,0,1,0,0,0,1,1,0,0,1,1,1,0,Модернизация машин и оборудования,1,,1,1,150000,95000,Литры,4.0
54,478,Другое Производство,Крупный,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2000,0,"Производство Промышленных, Технических Химикатов, Удобрений И Агрохимикатов",0,0.5,8,0,55000000,60000000,2000000,0,,120000000,0,0,0,0,0,,,0,,0,0,0,0,1,0,0,0,0,1,0,0,Модернизация машин и оборудования,0,Не является приоритетом по сравнению с другими инвестициями,0,0,200000,0,,2.0
55,484,Другое Производство,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2011,1,"Производство Изделий из пластмасс - Разработка, Изготовление Пресс-форм, Металлообработка, Формование Пластмасс",0,0.75,2,0,60000000,85000000,150000,220000,,85000000,0,0,0,0,0,Каждый квартал,Каждый квартал,1,0,1,0,0,0,1,1,1,0,1,1,1,0,Модернизация машин и оборудования,1,,1,1,120000,200000,Литры,5.0
56,486,Неметаллические Минеральные продукты,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,Производство Комплексного Архитектурного Оформления Фасадов И интерьеров,0,1.0,7,0,70000000,100000000,600000,1000000,,Не знаю,0,0,1,0,0,Каждый месяц,Каждый месяц,1,1,0,0,1,0,1,1,1,1,1,0,1,0,Модернизация машин и оборудования,1,,Не знаю,0,1300,Не знаю,,6.0
57,487,Другое Производство,Средний,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Производство листового стекла,0,0.5,1,0,10000000,8000000,800000,700000,,Не знаю,1,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,1,1,1,1,1,1,1,1,1,1,Модернизация машин и оборудования,1,,0,0,10000,13000,Литры,9.0
58,488,Готовые Металлические Изделия,Малый,Центральный Федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,Механическая обработка металла,0,0.75,7,0,15000000,5000000,160000,130000,,5000000,0,0,0,0,0,Каждый квартал,Каждый квартал,Не знаю,,1,0,0,0,1,1,0,0,0,1,1,0,Модернизация машин и оборудования,1,,0,1,24000,150000,Литры,3.0
